AC   MIPF0000001
ID   mir-17
MI   MI0001234  gga-let-7a-1
MI   MI0001259  gga-let-7a-2
MI   MI0001262  gga-let-7j
MI   MI0001263  gga-let-7k
MI   MI0001288  dps-let-7
MI   MI0001600  aga-let-7
MI   MI0001857  dre-let-7a-1
MI   MI0001858  dre-let-7a-2
MI   MI0001860  dre-let-7a-3
MI   MI0001861  dre-let-7a-4
MI   MI0001862  dre-let-7a-5
MI   MI0001863  dre-let-7a-6
MI   MI0001865  dre-let-7b
MI   MI0001866  dre-let-7c-1
MI   MI0001867  dre-let-7c-2
MI   MI0001868  dre-let-7d-1
MI   MI0001870  dre-let-7d-2
MI   MI0001871  dre-let-7e
MI   MI0001872  dre-let-7f
MI   MI0001873  dre-let-7g-1
MI   MI0001874  dre-let-7g-2
MI   MI0001875  dre-let-7h
MI   MI0001876  dre-let-7i
MI   MI0002445  ssc-let-7c
MI   MI0002446  ssc-let-7f
MI   MI0002447  ssc-let-7i
MI   MI0002696  mml-mir-98
MI   MI0002697  ptr-mir-98
MI   MI0002698  ggo-mir-98
MI   MI0002699  ppy-mir-98
MI   MI0002700  age-mir-98
MI   MI0002701  ppa-mir-98
MI   MI0003207  fru-let-7h
MI   MI0003208  tni-let-7h
MI   MI0003213  fru-let-7e
MI   MI0003214  tni-let-7e
MI   MI0003244  fru-let-7a-3
MI   MI0003245  tni-let-7a-3
MI   MI0003295  fru-let-7i
MI   MI0003296  tni-let-7i
MI   MI0003313  fru-let-7a-2
MI   MI0003314  tni-let-7a-2
MI   MI0003319  fru-let-7d
MI   MI0003320  tni-let-7d
MI   MI0003341  fru-let-7j
MI   MI0003342  tni-let-7j
MI   MI0003343  dre-let-7j
MI   MI0003344  fru-let-7b
MI   MI0003345  tni-let-7b
MI   MI0003407  fru-let-7a-1
MI   MI0003408  tni-let-7a-1
MI   MI0003461  fru-let-7g
MI   MI0003462  tni-let-7g
MI   MI0004734  bta-let-7f-2
MI   MI0004787  xtr-let-7b
MI   MI0004820  xtr-mir-98
MI   MI0004886  xtr-let-7c
MI   MI0004887  xtr-let-7f
MI   MI0004888  xtr-let-7g
MI   MI0004889  xtr-let-7i
MI   MI0004907  xtr-let-7e-1
MI   MI0004908  xtr-let-7a
MI   MI0004909  xtr-let-7e-2
MI   MI0004968  bmo-let-7
MI   MI0005025  bta-mir-98
MI   MI0005026  bta-let-7d
MI   MI0005051  bta-let-7g
MI   MI0005057  bta-let-7a-1
MI   MI0005062  bta-let-7f-1
MI   MI0005065  bta-let-7i
MI   MI0005330  mdo-let-7a-2
MI   MI0005331  mdo-let-7g
MI   MI0005332  mdo-let-7i
MI   MI0005349  mdo-let-7f-2
MI   MI0005350  mdo-let-7a-3
MI   MI0005351  mdo-let-7b
MI   MI0005360  mdo-let-7a-1
MI   MI0005361  mdo-let-7f-1
MI   MI0005362  mdo-let-7d
MI   MI0005451  bta-let-7a-2
MI   MI0005452  bta-let-7a-3
MI   MI0005453  bta-let-7b
MI   MI0005454  bta-let-7c
MI   MI0005455  bta-let-7e
MI   MI0005726  ame-let-7
MI   MI0006720  oan-let-7b
MI   MI0006773  oan-let-7e
MI   MI0006809  oan-let-7g
MI   MI0006894  oan-mir-98
MI   MI0006895  oan-let-7f-2
MI   MI0006934  oan-let-7d
MI   MI0006962  oan-let-7f-1
MI   MI0007149  cin-let-7a-1
MI   MI0007150  cin-let-7a-2
MI   MI0007151  cin-let-7b
MI   MI0007152  cin-let-7c
MI   MI0007153  cin-let-7d
MI   MI0007154  cin-let-7e
MI   MI0007181  csa-let-7a
MI   MI0007182  csa-let-7b
MI   MI0007183  csa-let-7c-1
MI   MI0007184  csa-let-7c-2
MI   MI0007185  csa-let-7d
MI   MI0007570  mml-let-7a-1
MI   MI0007571  mml-let-7a-2
MI   MI0007572  mml-let-7a-3
MI   MI0007573  mml-let-7b
MI   MI0007574  mml-let-7c
MI   MI0007575  mml-let-7d
MI   MI0007576  mml-let-7e
MI   MI0007577  mml-let-7f-1
MI   MI0007578  mml-let-7f-2
MI   MI0007579  mml-let-7g
MI   MI0007580  mml-let-7i
MI   MI0007989  cfa-let-7a-1
MI   MI0008004  cfa-let-7e
MI   MI0008006  cfa-let-7f
MI   MI0008036  cfa-let-7g
MI   MI0008076  cfa-let-7c
MI   MI0008182  cfa-mir-98
MI   MI0008397  ptr-let-7a-1
MI   MI0008398  ptr-let-7a-2
MI   MI0008399  ptr-let-7a-3
MI   MI0008400  ptr-let-7b
MI   MI0008401  ptr-let-7c
MI   MI0008402  ptr-let-7d
MI   MI0008403  ptr-let-7e
MI   MI0008404  ptr-let-7f-1
MI   MI0008405  ptr-let-7f-2
MI   MI0008406  ptr-let-7g
MI   MI0008407  ptr-let-7i
MI   MI0008896  tca-let-7
MI   MI0009004  dan-let-7
MI   MI0009025  der-let-7
MI   MI0009138  dgr-let-7-1
MI   MI0009176  dgr-let-7-2
MI   MI0009239  dmo-let-7
MI   MI0009254  dpe-let-7-1
MI   MI0009316  dpe-let-7-2
MI   MI0009400  dse-let-7
MI   MI0009441  dsi-let-7
MI   MI0009548  dvi-let-7
MI   MI0009562  dwi-let-7
MI   MI0009673  dya-let-7
MI   MI0010007  bfl-let-7a-2
MI   MI0010095  cte-let-7
MI   MI0010143  lgi-let-7
MI   MI0010180  sko-let-7
MI   MI0010185  spu-let-7
MI   MI0010328  cfa-let-7a-2
MI   MI0010329  cfa-let-7b
MI   MI0010516  bfl-let-7a-1
MI   MI0010668  sja-let-7
MI   MI0010673  sma-let-7
MI   MI0011037  crm-let-7
MI   MI0011149  ppc-let-7
MI   MI0012260  isc-let-7
MI   MI0012731  eca-let-7a
MI   MI0012759  eca-let-7e
MI   MI0012820  eca-let-7g
MI   MI0012859  eca-let-7d
MI   MI0012860  eca-let-7f
MI   MI0012925  eca-let-7c
MI   MI0012932  eca-let-7a-2
MI   MI0012988  eca-mir-98
MI   MI0013085  ssc-let-7a-1
MI   MI0013086  ssc-let-7e
MI   MI0013087  ssc-let-7g
MI   MI0013122  ssc-mir-98
MI   MI0013319  bma-let-7
MI   MI0013505  aae-let-7
MI   MI0013570  cqu-let-7
MI   MI0013694  tgu-let-7i
MI   MI0013703  tgu-let-7b
MI   MI0013721  tgu-let-7e
MI   MI0013722  tgu-let-7a-1
MI   MI0013723  tgu-let-7a-3
MI   MI0013724  tgu-let-7a-2
MI   MI0013725  tgu-let-7a-4
MI   MI0013726  tgu-let-7c-1
MI   MI0013727  tgu-let-7c-2
MI   MI0013740  tgu-let-7g-1
MI   MI0013741  tgu-let-7g-2
MI   MI0013743  tgu-let-7f
MI   MI0013750  tgu-let-7d
MI   MI0013908  api-let-7
MI   MI0014739  nvi-let-7
MI   MI0014779  ppy-let-7a-1
MI   MI0014780  ppy-let-7a-2
MI   MI0014781  ppy-let-7a-3
MI   MI0014782  ppy-let-7b
MI   MI0014783  ppy-let-7c
MI   MI0014784  ppy-let-7d
MI   MI0014785  ppy-let-7e
MI   MI0014786  ppy-let-7f-1
MI   MI0014787  ppy-let-7f-2
MI   MI0014788  ppy-let-7g
MI   MI0014789  ppy-let-7i
MI   MI0015418  rno-mir-3596d
MI   MI0015455  rno-mir-3596b
MI   MI0015952  bta-mir-3596
MI   MI0016654  ngi-let-7
MI   MI0017144  pma-let-7a-1
MI   MI0017145  pma-let-7a-2
MI   MI0017146  pma-let-7a-3
MI   MI0017147  pma-let-7a-4
MI   MI0017148  pma-let-7b
MI   MI0017149  pma-let-7c
MI   MI0017150  pma-let-7d
MI   MI0017774  egr-let-7
MI   MI0017797  emu-let-7
MI   MI0017984  ssc-let-7a-2
MI   MI0018525  asu-let-7
MI   MI0018701  aca-let-7a
MI   MI0018702  aca-let-7b
MI   MI0018703  aca-let-7c-1
MI   MI0018704  aca-let-7c-2
MI   MI0018705  aca-let-7d
MI   MI0018706  aca-let-7e
MI   MI0018707  aca-let-7f-1
MI   MI0018708  aca-let-7f-2
MI   MI0018709  aca-let-7g
MI   MI0018710  aca-let-7i
MI   MI0018893  aca-mir-98
MI   MI0019430  ola-let-7a-1
MI   MI0019431  ola-let-7b-1
MI   MI0019441  ola-let-7g
MI   MI0019443  ola-let-7e
MI   MI0019444  ola-let-7a-2
MI   MI0019504  ola-let-7c
MI   MI0019508  ola-let-7a-4
MI   MI0019550  ola-let-7b-2
MI   MI0019551  ola-let-7a-3
MI   MI0019621  sha-let-7g
MI   MI0019628  sha-let-7a
MI   MI0019650  sha-let-7i
//
AC   MIPF0000003
ID   mir-430
MI   MI0001527  dre-mir-430a-1
MI   MI0001528  dre-mir-430b-1
MI   MI0001529  dre-mir-430c-1
MI   MI0002079  dre-mir-430c-2
MI   MI0002080  dre-mir-430c-3
MI   MI0002081  dre-mir-430c-4
MI   MI0002082  dre-mir-430c-5
MI   MI0002083  dre-mir-430c-6
MI   MI0002087  dre-mir-430c-7
MI   MI0002088  dre-mir-430c-8
MI   MI0002089  dre-mir-430c-9
MI   MI0002090  dre-mir-430c-10
MI   MI0002091  dre-mir-430c-11
MI   MI0002092  dre-mir-430c-12
MI   MI0002093  dre-mir-430c-13
MI   MI0002094  dre-mir-430c-14
MI   MI0002095  dre-mir-430c-15
MI   MI0002096  dre-mir-430c-16
MI   MI0002097  dre-mir-430c-17
MI   MI0002098  dre-mir-430c-18
MI   MI0002111  dre-mir-430a-2
MI   MI0002112  dre-mir-430a-3
MI   MI0002113  dre-mir-430a-4
MI   MI0002114  dre-mir-430a-5
MI   MI0002115  dre-mir-430a-6
MI   MI0002116  dre-mir-430a-7
MI   MI0002117  dre-mir-430a-8
MI   MI0002118  dre-mir-430a-9
MI   MI0002119  dre-mir-430a-10
MI   MI0002120  dre-mir-430a-11
MI   MI0002121  dre-mir-430a-12
MI   MI0002122  dre-mir-430a-13
MI   MI0002123  dre-mir-430a-14
MI   MI0002124  dre-mir-430a-15
MI   MI0002125  dre-mir-430a-16
MI   MI0002126  dre-mir-430a-17
MI   MI0002139  dre-mir-430i-1
MI   MI0002140  dre-mir-430i-2
MI   MI0002141  dre-mir-430i-3
MI   MI0002142  dre-mir-430b-2
MI   MI0002143  dre-mir-430b-3
MI   MI0002144  dre-mir-430b-4
MI   MI0002146  dre-mir-430b-6
MI   MI0002147  dre-mir-430b-7
MI   MI0002148  dre-mir-430b-8
MI   MI0002149  dre-mir-430b-9
MI   MI0002150  dre-mir-430b-10
MI   MI0002151  dre-mir-430b-11
MI   MI0002152  dre-mir-430b-12
MI   MI0002153  dre-mir-430b-13
MI   MI0002154  dre-mir-430b-14
MI   MI0002155  dre-mir-430b-15
MI   MI0002156  dre-mir-430b-16
MI   MI0002157  dre-mir-430b-17
MI   MI0002158  dre-mir-430b-18
MI   MI0002166  dre-mir-430b-5
MI   MI0002170  dre-mir-430b-19
MI   MI0002171  dre-mir-430b-20
MI   MI0013008  ola-mir-430a-1
MI   MI0013009  ola-mir-430c-1
MI   MI0013010  ola-mir-430b-1
MI   MI0013011  ola-mir-430c-2
MI   MI0013012  ola-mir-430c-3
MI   MI0013013  ola-mir-430d-1
MI   MI0013014  ola-mir-430a-2
MI   MI0013015  ola-mir-430c-4
MI   MI0013016  ola-mir-430d-2
MI   MI0013017  ola-mir-430a-3
MI   MI0013018  ola-mir-430a-4
MI   MI0013019  ola-mir-430c-5
MI   MI0013020  ola-mir-430d-3
MI   MI0013021  ola-mir-430b-2
MI   MI0013022  ola-mir-430c-6
MI   MI0013023  ola-mir-430c-7
MI   MI0017126  pma-mir-430f
MI   MI0017130  pma-mir-430a
MI   MI0017131  pma-mir-430b
MI   MI0017132  pma-mir-430c
MI   MI0017133  pma-mir-430d
//
AC   MIPF0000004
ID   MIR166
MI   MI0000199  ath-MIR165a
MI   MI0000200  ath-MIR165b
MI   MI0000201  ath-MIR166a
MI   MI0000202  ath-MIR166b
MI   MI0000203  ath-MIR166c
MI   MI0000204  ath-MIR166d
MI   MI0000205  ath-MIR166e
MI   MI0000206  ath-MIR166f
MI   MI0000207  ath-MIR166g
MI   MI0000670  osa-MIR166a
MI   MI0000671  osa-MIR166b
MI   MI0000672  osa-MIR166c
MI   MI0000673  osa-MIR166d
MI   MI0000674  osa-MIR166e
MI   MI0000675  osa-MIR166f
MI   MI0001106  osa-MIR166j
MI   MI0001107  osa-MIR166k
MI   MI0001108  osa-MIR166l
MI   MI0001142  osa-MIR166g
MI   MI0001143  osa-MIR166h
MI   MI0001144  osa-MIR166i
MI   MI0001157  osa-MIR166m
MI   MI0001158  osa-MIR166n
MI   MI0001480  zma-MIR166a
MI   MI0001482  zma-MIR166h
MI   MI0001483  zma-MIR166e
MI   MI0001485  zma-MIR166i
MI   MI0001486  zma-MIR166f
MI   MI0001487  zma-MIR166g
MI   MI0001488  zma-MIR166b
MI   MI0001489  zma-MIR166c
MI   MI0001490  zma-MIR166d
MI   MI0001497  sbi-MIR166d
MI   MI0001498  sbi-MIR166c
MI   MI0001499  sbi-MIR166b
MI   MI0001500  sbi-MIR166a
MI   MI0001550  sbi-MIR166e
MI   MI0001569  sbi-MIR166f
MI   MI0001740  mtr-MIR166
MI   MI0001775  gma-MIR166a
MI   MI0001776  gma-MIR166b
MI   MI0001817  zma-MIR166k
MI   MI0001818  zma-MIR166j
MI   MI0001841  zma-MIR166l
MI   MI0001842  zma-MIR166m
MI   MI0001853  sbi-MIR166g
MI   MI0002218  ptc-MIR166a
MI   MI0002219  ptc-MIR166b
MI   MI0002220  ptc-MIR166c
MI   MI0002221  ptc-MIR166d
MI   MI0002222  ptc-MIR166e
MI   MI0002223  ptc-MIR166f
MI   MI0002224  ptc-MIR166g
MI   MI0002225  ptc-MIR166h
MI   MI0002226  ptc-MIR166i
MI   MI0002227  ptc-MIR166j
MI   MI0002228  ptc-MIR166k
MI   MI0002229  ptc-MIR166l
MI   MI0002230  ptc-MIR166m
MI   MI0002231  ptc-MIR166n
MI   MI0002232  ptc-MIR166o
MI   MI0002233  ptc-MIR166p
MI   MI0002234  ptc-MIR166q
MI   MI0005575  mtr-MIR166b
MI   MI0005581  mtr-MIR166c
MI   MI0005582  mtr-MIR166d
MI   MI0005594  mtr-MIR166e
MI   MI0005614  mtr-MIR166f
MI   MI0005618  mtr-MIR166g
MI   MI0005628  mtr-MIR166h
MI   MI0005645  ghr-MIR166b
MI   MI0005659  ppt-MIR166b
MI   MI0005660  ppt-MIR166a
MI   MI0005782  pta-MIR166a
MI   MI0005783  pta-MIR166b
MI   MI0005906  ppt-MIR166c
MI   MI0005907  ppt-MIR166d
MI   MI0005908  ppt-MIR166e
MI   MI0005909  ppt-MIR166f
MI   MI0005910  ppt-MIR166g
MI   MI0005911  ppt-MIR166h
MI   MI0005912  ppt-MIR166i
MI   MI0005913  ppt-MIR166j
MI   MI0005914  ppt-MIR166k
MI   MI0005915  ppt-MIR166l
MI   MI0005916  ppt-MIR166m
MI   MI0006053  smo-MIR166a
MI   MI0006054  smo-MIR166b
MI   MI0006055  smo-MIR166c
MI   MI0006474  bna-MIR166a
MI   MI0006475  bna-MIR166b
MI   MI0006476  bna-MIR166c
MI   MI0006477  bna-MIR166d
MI   MI0006507  vvi-MIR166a
MI   MI0006508  vvi-MIR166b
MI   MI0006509  vvi-MIR166c
MI   MI0006510  vvi-MIR166d
MI   MI0006511  vvi-MIR166e
MI   MI0006512  vvi-MIR166f
MI   MI0006513  vvi-MIR166g
MI   MI0006514  vvi-MIR166h
MI   MI0008358  sly-MIR166a
MI   MI0008359  sly-MIR166b
MI   MI0010704  pvu-MIR166a
MI   MI0010867  sbi-MIR166h
MI   MI0010868  sbi-MIR166i
MI   MI0010869  sbi-MIR166j
MI   MI0010870  sbi-MIR166k
MI   MI0011570  bdi-MIR166a
MI   MI0012073  aqc-MIR166e
MI   MI0012074  aqc-MIR166a
MI   MI0012075  aqc-MIR166b
MI   MI0012076  aqc-MIR166c
MI   MI0012077  aqc-MIR166d
MI   MI0013197  zma-MIR166n
MI   MI0013296  csi-MIR166e
MI   MI0013297  ctr-MIR166
MI   MI0013310  crt-MIR166a
MI   MI0013311  crt-MIR166b
MI   MI0013315  csi-MIR166a
MI   MI0013316  csi-MIR166b
MI   MI0013386  rco-MIR166a
MI   MI0013387  rco-MIR166b
MI   MI0013388  rco-MIR166c
MI   MI0013389  rco-MIR166d
MI   MI0013390  rco-MIR166e
MI   MI0014530  aly-MIR165a
MI   MI0014531  aly-MIR165b
MI   MI0014532  aly-MIR166a
MI   MI0014533  aly-MIR166b
MI   MI0014534  aly-MIR166c
MI   MI0014535  aly-MIR166d
MI   MI0014536  aly-MIR166e
MI   MI0014537  aly-MIR166f
MI   MI0014538  aly-MIR166g
MI   MI0016118  pab-MIR166a
MI   MI0016119  pab-MIR166b
MI   MI0016455  hvu-MIR166
MI   MI0016694  csi-MIR166c
MI   MI0016695  csi-MIR166d
MI   MI0016742  hvu-MIR166b
MI   MI0017467  tcc-MIR166a
MI   MI0017468  tcc-MIR166b
MI   MI0017469  tcc-MIR166c
MI   MI0017470  tcc-MIR166d
MI   MI0017829  gma-MIR166c
MI   MI0017830  gma-MIR166d
MI   MI0017831  gma-MIR166e
MI   MI0017832  gma-MIR166f
MI   MI0017833  gma-MIR166g
MI   MI0017834  gma-MIR166h
MI   MI0018083  bdi-MIR166f
MI   MI0018089  bdi-MIR166d
MI   MI0018092  bdi-MIR166b
MI   MI0018112  bdi-MIR166e
MI   MI0018113  bdi-MIR166c
MI   MI0018135  bdi-MIR5168
MI   MI0018212  hvu-MIR166c
MI   MI0018660  gma-MIR166i
MI   MI0018661  gma-MIR166j
MI   MI0019344  ssl-MIR166b
//
AC   MIPF0000005
ID   mir-30
MI   MI0000088  hsa-mir-30a
MI   MI0000144  mmu-mir-30a
MI   MI0000145  mmu-mir-30b
MI   MI0000254  hsa-mir-30c-2
MI   MI0000255  hsa-mir-30d
MI   MI0000259  mmu-mir-30e
MI   MI0000441  hsa-mir-30b
MI   MI0000547  mmu-mir-30c-1
MI   MI0000548  mmu-mir-30c-2
MI   MI0000549  mmu-mir-30d
MI   MI0000736  hsa-mir-30c-1
MI   MI0000749  hsa-mir-30e
MI   MI0000866  rno-mir-30c-1
MI   MI0000867  rno-mir-30e
MI   MI0000868  rno-mir-30b
MI   MI0000869  rno-mir-30d
MI   MI0000870  rno-mir-30a
MI   MI0000871  rno-mir-30c-2
MI   MI0001198  gga-mir-30d
MI   MI0001199  gga-mir-30b
MI   MI0001204  gga-mir-30a
MI   MI0001205  gga-mir-30c-2
MI   MI0001256  gga-mir-30e
MI   MI0001257  gga-mir-30c-1
MI   MI0001940  dre-mir-30a
MI   MI0001941  dre-mir-30b
MI   MI0001944  dre-mir-30c
MI   MI0001946  dre-mir-30d
MI   MI0001950  dre-mir-30e-2
MI   MI0002461  ssc-mir-30c-2
MI   MI0002502  mml-mir-30b
MI   MI0002503  ptr-mir-30b
MI   MI0002504  ggo-mir-30b
MI   MI0002505  lla-mir-30b
MI   MI0002506  mne-mir-30b
MI   MI0002507  age-mir-30b
MI   MI0002508  ppa-mir-30b
MI   MI0002666  mml-mir-30a
MI   MI0002667  ptr-mir-30a
MI   MI0002668  ggo-mir-30a
MI   MI0002669  ppy-mir-30a
MI   MI0002670  ppa-mir-30a
MI   MI0002923  ptr-mir-30c-2
MI   MI0002924  lla-mir-30c
MI   MI0002925  mne-mir-30c
MI   MI0002926  ptr-mir-30d
MI   MI0002927  ggo-mir-30d
MI   MI0002928  mne-mir-30d
MI   MI0002929  ppa-mir-30d
MI   MI0003263  fru-mir-30b
MI   MI0003264  tni-mir-30b
MI   MI0003265  fru-mir-30d
MI   MI0003266  tni-mir-30d
MI   MI0003350  fru-mir-30c
